
#################################################################
# Summary Statistics
#################################################################

DIC = 4766.101

                                  Mean    SD  2.5%    5%   25%   50%   75%
p.MO3_2019.Tillering.Rice_herb   0.996 0.998
p.MO3_2019.Tillering.Tour_herb   0.487 0.736
p.MO3_2019.Flowering.Detritivore 0.326 0.406
p.MO3_2019.Flowering.Rice_herb   0.993 0.996
p.MO3_2019.Flowering.Tour_herb   0.413 0.639
p.MO3_2019.Ripening.Detritivore  0.097 0.129
p.MO3_2019.Ripening.Rice_herb    0.998 0.999
p.MO3_2019.Ripening.Tour_herb    0.181 0.665
p.OC_2017.Flowering.Detritivore  0.258 0.324
p.OC_2017.Flowering.Rice_herb    0.994 0.997
p.OC_2017.Flowering.Tour_herb    0.300 0.500
p.OC_2017.Ripening.Detritivore   0.099 0.136
p.OC_2017.Ripening.Rice_herb     0.999 0.999
p.OC_2017.Ripening.Tour_herb     0.129 0.394
p.OO_2017.Ripening.Detritivore   0.104 0.165
p.OO_2017.Ripening.Rice_herb     0.999 0.999
p.OO_2017.Ripening.Tour_herb     0.141 0.477
p.SC1_2018.Tillering.Detritivore 0.515 0.613
p.SC1_2018.Tillering.Rice_herb   0.996 0.998
p.SC1_2018.Tillering.Tour_herb   0.397 0.614
p.SC1_2018.Flowering.Detritivore 0.331 0.396
p.SC1_2018.Flowering.Rice_herb   0.993 0.996
p.SC1_2018.Flowering.Tour_herb   0.335 0.473
p.SC1_2018.Ripening.Detritivore  0.116 0.160
p.SC1_2018.Ripening.Rice_herb    0.999 0.999
p.SC1_2018.Ripening.Tour_herb    0.170 0.413
p.SC1_2019.Flowering.Detritivore 0.179 0.238
p.SC1_2019.Flowering.Rice_herb   0.995 0.997
p.SC1_2019.Flowering.Tour_herb   0.283 0.648
p.SO1_2018.Tillering.Detritivore 0.551 0.724
p.SO1_2018.Tillering.Rice_herb   0.997 0.998
p.SO1_2018.Tillering.Tour_herb   0.218 0.836
p.SO1_2018.Ripening.Detritivore  0.080 0.148
p.SO1_2018.Ripening.Rice_herb    0.999 1.000
p.SO1_2018.Ripening.Tour_herb    0.103 0.483
p.SO1_2019.Flowering.Detritivore 0.228 0.287
p.SO1_2019.Flowering.Rice_herb   0.994 0.997
p.SO1_2019.Flowering.Tour_herb   0.303 0.475
p.SO1_2019.Ripening.Detritivore  0.082 0.120
p.SO1_2019.Ripening.Rice_herb    0.999 0.999
p.SO1_2019.Ripening.Tour_herb    0.134 0.433
