
#################################################################
# Summary Statistics
#################################################################

DIC = 5681.071

                                  Mean    SD  2.5%    5%   25%   50%   75%   95%
p.MO1_2019.Ripening.Rice_herb    0.627 0.131 0.392 0.432 0.539 0.613 0.707 0.872
p.MO1_2019.Ripening.Tour_herb    0.061 0.052 0.005 0.008 0.025 0.048 0.083 0.159
p.MO2_2018.Tillering.Detritivore 0.330 0.216 0.047 0.072 0.178 0.283 0.413 0.858
p.MO2_2018.Tillering.Rice_herb   0.126 0.088 0.018 0.025 0.061 0.106 0.168 0.298
p.MO2_2018.Tillering.Tour_herb   0.544 0.210 0.020 0.059 0.450 0.570 0.690 0.830
p.MO2_2018.Flowering.Detritivore 0.106 0.113 0.007 0.010 0.032 0.066 0.135 0.352
p.MO2_2018.Flowering.Rice_herb   0.540 0.194 0.149 0.191 0.401 0.557 0.692 0.829
p.MO2_2018.Flowering.Tour_herb   0.354 0.206 0.032 0.059 0.194 0.327 0.495 0.731
p.MO2_2019.Tillering.Detritivore 0.543 0.385 0.022 0.031 0.126 0.582 0.922 0.961
p.MO2_2019.Tillering.Rice_herb   0.054 0.035 0.008 0.011 0.029 0.048 0.072 0.121
p.MO2_2019.Tillering.Tour_herb   0.403 0.390 0.003 0.005 0.019 0.341 0.817 0.936
p.MO2_2019.Flowering.Detritivore 0.255 0.216 0.004 0.007 0.037 0.254 0.430 0.608
p.MO2_2019.Flowering.Rice_herb   0.410 0.208 0.056 0.080 0.218 0.449 0.575 0.721
p.MO2_2019.Flowering.Tour_herb   0.335 0.349 0.005 0.007 0.023 0.101 0.709 0.888
p.MO3_2018.Tillering.Detritivore 0.442 0.204 0.097 0.136 0.293 0.423 0.570 0.833
p.MO3_2018.Tillering.Rice_herb   0.137 0.101 0.017 0.023 0.061 0.111 0.185 0.335
p.MO3_2018.Tillering.Tour_herb   0.421 0.190 0.037 0.076 0.296 0.425 0.553 0.725
p.MO3_2018.Flowering.Detritivore 0.144 0.127 0.010 0.017 0.050 0.104 0.198 0.413
