
#################################################################
# Summary Statistics
#################################################################

DIC = 4782.265

                                  Mean    SD  2.5%    5%   25%   50%   75%   95%
p.MC1_2018.Tillering.Tour_herb   0.983
p.MC2_2018.Ripening.Detritivore  0.447
p.MC2_2018.Ripening.Rice_herb    0.992
p.MC2_2018.Ripening.Tour_herb    0.992
p.MC2_2019.Flowering.Detritivore 0.274
p.MC2_2019.Flowering.Rice_herb   0.988
p.MC2_2019.Flowering.Tour_herb   0.982
p.MC3_2019.Flowering.Detritivore 0.397
p.MC3_2019.Flowering.Rice_herb   0.974
p.MC3_2019.Flowering.Tour_herb   0.976
p.MC3_2019.Ripening.Detritivore  0.218
p.MC3_2019.Ripening.Rice_herb    0.992
p.MC3_2019.Ripening.Tour_herb    0.993
p.MO_2017.Tillering.Detritivore  0.921
p.MO_2017.Tillering.Rice_herb    0.653
p.MO_2017.Tillering.Tour_herb    0.933
p.MO_2017.Flowering.Detritivore  0.705
p.MO_2017.Flowering.Rice_herb    0.837
p.MO_2017.Flowering.Tour_herb    0.898
p.MO_2017.Ripening.Detritivore   0.471
p.MO_2017.Ripening.Rice_herb     0.957
p.MO_2017.Ripening.Tour_herb     0.971
p.MO1_2018.Ripening.Detritivore  0.438
p.MO1_2018.Ripening.Rice_herb    0.993
p.MO1_2018.Ripening.Tour_herb    0.993
p.MO1_2019.Ripening.Detritivore  0.765
p.MO1_2019.Ripening.Rice_herb    0.991
p.MO1_2019.Ripening.Tour_herb    0.992
p.MO2_2018.Tillering.Detritivore 0.921
p.MO2_2018.Tillering.Rice_herb   0.915
p.MO2_2018.Tillering.Tour_herb   0.981
p.MO2_2018.Flowering.Detritivore 0.704
p.MO2_2018.Flowering.Rice_herb   0.967
p.MO2_2018.Flowering.Tour_herb   0.976
p.MO2_2019.Tillering.Detritivore 0.949
p.MO2_2019.Tillering.Rice_herb   0.972
p.MO2_2019.Tillering.Tour_herb   0.989
p.MO2_2019.Flowering.Detritivore 0.720
p.MO2_2019.Flowering.Rice_herb   0.990
p.MO2_2019.Flowering.Tour_herb   0.988
p.MO3_2018.Tillering.Detritivore 0.929
p.MO3_2018.Tillering.Rice_herb   0.914
p.MO3_2018.Tillering.Tour_herb   0.974
p.MO3_2018.Flowering.Detritivore 0.699
p.MO3_2018.Flowering.Rice_herb   0.964
p.MO3_2018.Flowering.Tour_herb   0.968
p.MO3_2019.Tillering.Detritivore 0.841
p.MO3_2019.Tillering.Rice_herb   0.854
p.MO3_2019.Tillering.Tour_herb   0.972
p.MO3_2019.Flowering.Detritivore 0.537
p.MO3_2019.Flowering.Rice_herb   0.939
p.MO3_2019.Flowering.Tour_herb   0.963
p.MO3_2019.Ripening.Detritivore  0.284
p.MO3_2019.Ripening.Rice_herb    0.982
p.MO3_2019.Ripening.Tour_herb    0.988
p.OC_2017.Flowering.Detritivore  0.716
p.OC_2017.Flowering.Rice_herb    0.954
p.OC_2017.Flowering.Tour_herb    0.966
p.OC_2017.Ripening.Detritivore   0.486
p.OC_2017.Ripening.Rice_herb     0.989
p.OC_2017.Ripening.Tour_herb     0.990
p.OO_2017.Ripening.Detritivore   0.554
p.OO_2017.Ripening.Rice_herb     0.991
p.OO_2017.Ripening.Tour_herb     0.991
p.SC1_2018.Tillering.Detritivore 0.893
p.SC1_2018.Tillering.Rice_herb   0.826
p.SC1_2018.Tillering.Tour_herb   0.940
p.SC1_2018.Flowering.Detritivore 0.623
p.SC1_2018.Flowering.Rice_herb   0.926
p.SC1_2018.Flowering.Tour_herb   0.915
p.SC1_2018.Ripening.Detritivore  0.396
p.SC1_2018.Ripening.Rice_herb    0.977
p.SC1_2018.Ripening.Tour_herb    0.977
p.SC1_2019.Flowering.Detritivore 0.527
p.SC1_2019.Flowering.Rice_herb   0.980
p.SC1_2019.Flowering.Tour_herb   0.978
p.SO1_2018.Tillering.Detritivore 0.959
p.SO1_2018.Tillering.Rice_herb   0.971
p.SO1_2018.Tillering.Tour_herb   0.985
p.SO1_2018.Ripening.Detritivore  0.608
p.SO1_2018.Ripening.Rice_herb    0.997
p.SO1_2018.Ripening.Tour_herb    0.995
p.SO1_2019.Flowering.Detritivore 0.611
p.SO1_2019.Flowering.Rice_herb   0.964
p.SO1_2019.Flowering.Tour_herb   0.961
p.SO1_2019.Ripening.Detritivore  0.413
p.SO1_2019.Ripening.Rice_herb    0.991
p.SO1_2019.Ripening.Tour_herb    0.991
