
#################################################################
# Summary Statistics
#################################################################

DIC = 4904.751

                                  Mean    SD  2.5%    5%   25%   50%   75%    95%
p.GC_2017.Ripening.Predator       0.994
p.GC_2017.Ripening.Rice_herb      0.977
p.GC_2017.Ripening.Tour_herb      0.044
p.GO_2017.Ripening.Detritivore    0.061
p.GO_2017.Ripening.Predator       0.997
p.GO_2017.Ripening.Rice_herb      0.981
p.GO_2017.Ripening.Tour_herb      0.069
p.LC1_2018.Tillering.Detritivore  0.267
p.LC1_2018.Tillering.Predator     0.963
p.LC1_2018.Tillering.Rice_herb    0.934
p.LC1_2018.Tillering.Tour_herb    0.338
p.LC1_2018.Ripening.Detritivore   0.047
p.LC1_2018.Ripening.Predator      0.998
p.LC1_2018.Ripening.Rice_herb     0.983
p.LC1_2018.Ripening.Tour_herb     0.061
p.LC1_2019.Tillering.Detritivore  0.381
p.LC1_2019.Tillering.Predator     0.956
p.LC1_2019.Tillering.Rice_herb    0.961
p.LC1_2019.Tillering.Tour_herb    0.403
p.LC1_2019.Flowering.Detritivore  0.203
p.LC1_2019.Flowering.Predator     0.987
p.LC1_2019.Flowering.Rice_herb    0.937
p.LC1_2019.Flowering.Tour_herb    0.223
p.LC1_2019.Ripening.Detritivore   0.077
p.LC1_2019.Ripening.Predator      0.997
p.LC1_2019.Ripening.Rice_herb     0.988
p.LC1_2019.Ripening.Tour_herb     0.097
p.LC2_2018.Ripening.Detritivore   0.084
p.LC2_2018.Ripening.Predator      0.997
p.LC2_2018.Ripening.Rice_herb     0.982
p.LC2_2018.Ripening.Tour_herb     0.103
p.LC2_2019.Tillering.Detritivore  0.427
p.LC2_2019.Tillering.Predator     0.939
p.LC2_2019.Tillering.Rice_herb    0.955
p.LC2_2019.Tillering.Tour_herb    0.454
p.LC2_2019.Flowering.Detritivore  0.215
p.LC2_2019.Flowering.Predator     0.977
p.LC2_2019.Flowering.Rice_herb    0.929
p.LC2_2019.Flowering.Tour_herb    0.216
p.LC3_2018.Tillering.Detritivore  0.258
p.LC3_2018.Tillering.Predator     0.964
p.LC3_2018.Tillering.Rice_herb    0.945
p.LC3_2018.Tillering.Tour_herb    0.266
p.LC3_2018.Flowering.Detritivore  0.120
p.LC3_2018.Flowering.Predator     0.990
p.LC3_2018.Flowering.Rice_herb    0.923
p.LC3_2018.Flowering.Tour_herb    0.143
p.LC3_2018.Ripening.Detritivore   0.052
p.LC3_2018.Ripening.Predator      0.998
p.LC3_2018.Ripening.Rice_herb     0.985
p.LC3_2018.Ripening.Tour_herb     0.056
p.LC3_2019.Flowering.Detritivore  0.162
p.LC3_2019.Flowering.Predator     0.988
p.LC3_2019.Flowering.Rice_herb    0.918
p.LC3_2019.Flowering.Tour_herb    0.196
p.LC3_2019.Ripening.Detritivore   0.063
p.LC3_2019.Ripening.Predator      0.998
p.LC3_2019.Ripening.Rice_herb     0.983
p.LC3_2019.Ripening.Tour_herb     0.075
p.LO1_2018.Tillering.Detritivore  0.281
p.LO1_2018.Tillering.Predator     0.965
p.LO1_2018.Tillering.Rice_herb    0.831
p.LO1_2018.Tillering.Tour_herb    0.263
p.LO1_2018.Flowering.Detritivore  0.152
p.LO1_2018.Flowering.Predator     0.990
p.LO1_2018.Flowering.Rice_herb    0.764
